method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 1 30 binary0.05 1.5 0 9e-04 6.59152563013532 0.0967820020352856 137.022101753125 1.7439813707896 0.9815 0.00134811374505367 0.1077 0.00310140739908022
CLR 4 30 binary0.05 1.5 0 0 0.312853170677845 0.0338180218144291 11.5333194422158 0.633221693551124 0.9577 0.00201272725424982 0.516 0.00499743934430424
CLR 1 40 binary0.05 1.5 0 0 4.93767848635632 0.086011259679859 98.3526388149965 1.59045545022448 0.9717 0.00165828556045091 0.2428 0.00428775185849181
CLR 4 40 binary0.05 1.5 0 0 0.129217515755864 0.0187434260023714 3.52950603342351 0.335822339354305 0.9494 0.00219179469841498 0.6505 0.00476812069897565
CLR 1 50 binary0.05 1.5 0 0 3.44884669333578 0.0745462317211337 67.4603930116768 1.38603163878635 0.9741 0.00158836991913093 0.3887 0.00487454931250059
CLR 4 50 binary0.05 1.5 0 0 0.0549617051644804 0.0105555712503827 1.11711021316921 0.163771658083114 0.9447 0.00228564892317259 0.7439 0.00436477708480055
CLR 1 10 binary0.1 1.5 0 0.0113 10.1026330139002 0.117498494509276 238.548283764855 1.96733390584361 0.9902 0.000990700156883809 0.0044 0.000665635560120959
CLR 4 10 binary0.1 1.5 0 1e-04 1.67046029592713 0.0809125463977711 68.2457455656542 1.50720968727999 0.9891 0.00103837701374899 0.2303 0.00421045885817444
CLR 1 20 binary0.1 1.5 0 8e-04 5.88212540635162 0.094594243495758 123.999575683274 1.80164641825447 0.9766 0.00151230739564651 0.1489 0.00356132354895427
CLR 4 20 binary0.1 1.5 0 0 0.33796115523233 0.0286915379824781 8.34543805609398 0.556284827182995 0.9563 0.00204426783959441 0.5646 0.00495809277847843
CLR 1 30 binary0.1 1.5 0 0 3.30474939696625 0.0752670472712909 67.566987497732 1.4588539952911 0.9747 0.00157034741379097 0.399 0.00489692760820497
CLR 4 30 binary0.1 1.5 0 0 0.0744517811907547 0.0118070421814447 1.39946611222154 0.200371595933399 0.9466 0.0022482980229498 0.7421 0.00437478673765933
CLR 1 40 binary0.1 1.5 0 0 2.05152324952643 0.0606484885817474 40.9874610766844 1.18126626455939 0.9757 0.00153978927129656 0.5816 0.0049329650312971
CLR 4 40 binary0.1 1.5 0 0 0.0298791137452391 0.00607418829046979 0.369813499555615 0.0585767269933853 0.9452 0.0022758945494025 0.8526 0.0035450421718225
CLR 1 50 binary0.1 1.5 0 0 1.23875635718556 0.0469859606949249 23.6091146562157 0.913965196218851 0.9751 0.00155820377358034 0.7059 0.0045563712535306
CLR 4 50 binary0.1 1.5 0 0 0.0164191869256514 0.0046861633546576 0.21984889943767 0.00362461952595491 0.949 0.00219997727260988 0.916 0.00277387815161373
CLR 1 10 binary0.2 1.5 0 0.0026 8.18668047715912 0.108042938970015 183.439325378025 2.06396474940217 0.9803 0.00139148308846434 0.0331 0.00179130729713391
CLR 4 10 binary0.2 1.5 0 0 1.39864351665676 0.0552908209905363 32.5238954698756 1.11999808162666 0.9748 0.00156732128167775 0.3921 0.00488218793165523
CLR 1 20 binary0.2 1.5 0 0 3.74606144522343 0.0804914322494645 78.8152041364253 1.61152637479117 0.9743 0.00158238775273319 0.3801 0.00485411155619646
CLR 4 20 binary0.2 1.5 0 0 0.146466714613298 0.0158744550438502 2.54118372955888 0.301457510742322 0.949 0.00219997727260988 0.7271 0.00445449873723183
CLR 1 30 binary0.2 1.5 0 0 1.75282609334994 0.0568694684221851 35.4105295633086 1.14309354071713 0.9743 0.00158238775273319 0.6406 0.00479824592950382
CLR 4 30 binary0.2 1.5 0 0 0.033258012995412 0.00565665699057697 0.321051780750527 0.0414614585566377 0.9476 0.00222832313635164 0.8828 0.00321658452399436
CLR 1 40 binary0.2 1.5 0 0 0.788193484925408 0.037565823246016 14.7317485401115 0.750833383029018 0.9755 0.00154595439777504 0.7813 0.00413364621127643
CLR 4 40 binary0.2 1.5 0 0 0.0254908684706325 0.0049792138200563 0.248550694463517 0.0432428510944503 0.9483 0.00221420662992414 0.9516 0.00214609971809327
CLR 1 50 binary0.2 1.5 0 0 0.419391926138231 0.0264972614719848 7.19623613799167 0.523588875250865 0.9613 0.00192879003522934 0.8728 0.00333196878736881
CLR 4 50 binary0.2 1.5 0 0 0.0200857247762107 0.00398994854080166 0.15958441023288 0.0026114418192045 0.9489 0.0022020170299069 0.9833 0.00128144878945669
